complex.id	complex.name	organism	protein.members
728	CSA-POLIIa complex	Human	COPS4
728	CSA-POLIIa complex	Human	COPS5
728	CSA-POLIIa complex	Human	COPS6
728	CSA-POLIIa complex	Human	COPS7A
728	CSA-POLIIa complex	Human	COPS8
728	CSA-POLIIa complex	Human	CUL4A
728	CSA-POLIIa complex	Human	DDB1
728	CSA-POLIIa complex	Human	ERCC8
728	CSA-POLIIa complex	Human	GPS1
728	CSA-POLIIa complex	Human	POLR2A
728	CSA-POLIIa complex	Human	RBX1
729	Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	Human	CUL1
729	Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	Human	FBXO31
729	Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	Human	RBX1
729	Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	Human	SKP1
730	SNARE complex (SNAP23, STX4, VAMP1)	Human	SNAP23
730	SNARE complex (SNAP23, STX4, VAMP1)	Human	STX4
730	SNARE complex (SNAP23, STX4, VAMP1)	Human	VAMP1
731	SNARE complex (SNAP23, STX4, VAMP2)	Human	SNAP23
731	SNARE complex (SNAP23, STX4, VAMP2)	Human	STX4
731	SNARE complex (SNAP23, STX4, VAMP2)	Human	VAMP2
733	SNARE complex (STX4, VAMP1, VAMP7)	Human	STX4
733	SNARE complex (STX4, VAMP1, VAMP7)	Human	VAMP1
733	SNARE complex (STX4, VAMP1, VAMP7)	Human	VAMP7
735	SNARE complex (Stx6, Stx7, Vti1b)	Mouse	Stx6
735	SNARE complex (Stx6, Stx7, Vti1b)	Mouse	Stx7
735	SNARE complex (Stx6, Stx7, Vti1b)	Mouse	Vti1b
736	SNARE complex (Stx7, Stx8, Vamp8, Vti1b)	Mouse	Stx7
736	SNARE complex (Stx7, Stx8, Vamp8, Vti1b)	Mouse	Stx8
736	SNARE complex (Stx7, Stx8, Vamp8, Vti1b)	Mouse	Vamp8
736	SNARE complex (Stx7, Stx8, Vamp8, Vti1b)	Mouse	Vti1b
737	Akap6-Ppp2ca-Prkaca-Ryr2 complex	Rat	Akap6
737	Akap6-Ppp2ca-Prkaca-Ryr2 complex	Rat	Ppp2ca
737	Akap6-Ppp2ca-Prkaca-Ryr2 complex	Rat	Prkaca
737	Akap6-Ppp2ca-Prkaca-Ryr2 complex	Rat	Ryr2
738	SIN3-ING1b complex I	Human	ARID4B
738	SIN3-ING1b complex I	Human	HDAC1
738	SIN3-ING1b complex I	Human	HDAC2
738	SIN3-ING1b complex I	Human	ING1
738	SIN3-ING1b complex I	Human	RBBP4
738	SIN3-ING1b complex I	Human	RBBP7
738	SIN3-ING1b complex I	Human	SAP18
738	SIN3-ING1b complex I	Human	SAP30
738	SIN3-ING1b complex I	Human	SIN3A
739	SIN3-ING1b complex II	Human	ACTL6A
739	SIN3-ING1b complex II	Human	ARID1A
739	SIN3-ING1b complex II	Human	ARID4B
739	SIN3-ING1b complex II	Human	HDAC1
739	SIN3-ING1b complex II	Human	HDAC2
739	SIN3-ING1b complex II	Human	ING1
739	SIN3-ING1b complex II	Human	RBBP4
739	SIN3-ING1b complex II	Human	RBBP7
739	SIN3-ING1b complex II	Human	SAP18
739	SIN3-ING1b complex II	Human	SAP30
739	SIN3-ING1b complex II	Human	SIN3A
739	SIN3-ING1b complex II	Human	SMARCA4
739	SIN3-ING1b complex II	Human	SMARCB1
739	SIN3-ING1b complex II	Human	SMARCC1
739	SIN3-ING1b complex II	Human	SMARCC2
739	SIN3-ING1b complex II	Human	SMARCD1
740	Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)	Human	CASC3
740	Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)	Human	EIF4A3
740	Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)	Human	MAGOH
740	Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)	Human	RBM8A
741	NCOR-HDAC3 complex	Human	GPS2
741	NCOR-HDAC3 complex	Human	HDAC3
741	NCOR-HDAC3 complex	Human	NCOR1
741	NCOR-HDAC3 complex	Human	TBL1X
741	NCOR-HDAC3 complex	Human	TBL1XR1
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3A
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3B
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3C
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3D
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3E
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3F
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3G
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3H
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3I
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3J
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3K
742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)	Human	EIF3L
745	NCOR-SIN3-RPD3 complex	Human	HDAC2
745	NCOR-SIN3-RPD3 complex	Human	NCOR2
745	NCOR-SIN3-RPD3 complex	Human	SIN3A
745	NCOR-SIN3-RPD3 complex	Human	SIN3B
746	C/EBPalpha-HNF6 complex	Human	CEBPA
746	C/EBPalpha-HNF6 complex	Human	ONECUT1
747	NCOR-SIN3-HDAC1 complex	Human	HDAC1
747	NCOR-SIN3-HDAC1 complex	Human	NCOR2
747	NCOR-SIN3-HDAC1 complex	Human	SIN3A
748	TRAF6-TAK1 complex	Human	MAP3K7
748	TRAF6-TAK1 complex	Human	TRAF6
749	MeCP2-SIN3A-HDAC complex	Human	HDAC1
749	MeCP2-SIN3A-HDAC complex	Human	HDAC2
749	MeCP2-SIN3A-HDAC complex	Human	MECP2
749	MeCP2-SIN3A-HDAC complex	Human	SIN3A
750	MeCP2-Sin3a-Hdac complex	Rat	
750	MeCP2-Sin3a-Hdac complex	Rat	Hdac1
750	MeCP2-Sin3a-Hdac complex	Rat	Mecp2
750	MeCP2-Sin3a-Hdac complex	Rat	Sin3a
751	Trpc1-dystrophin-alpha1-syntrophin complex	Mouse	Dmd
751	Trpc1-dystrophin-alpha1-syntrophin complex	Mouse	Snta1
751	Trpc1-dystrophin-alpha1-syntrophin complex	Mouse	Trpc1
752	SMRT core complex	Human	HDAC3
752	SMRT core complex	Human	NCOR2
752	SMRT core complex	Human	TBL1X
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	Human	CAV1
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	Human	DAG1
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	Human	NOS3
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	Human	SGCE
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	Human	UTRN
754	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)	Human	CASC3
754	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)	Human	EIF4A3
754	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)	Human	MAGOH
754	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)	Human	RBM8A
754	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)	Human	UPF3B
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	CASC3
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	EIF4A3
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	MAGOH
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	PYM1
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	RBM8A
755	Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)	Human	UPF3B
756	Prune-Gelsolin complex	Human	GSN
756	Prune-Gelsolin complex	Human	PRUNE1
757	Prune-GSK3beta complex	Human	GSK3B
757	Prune-GSK3beta complex	Human	PRUNE1
758	Prune/Nm23-H1 complex	Human	NME1
758	Prune/Nm23-H1 complex	Human	PRUNE1
759	Fgfr1-Kal1 complex	Rat	Anos1
759	Fgfr1-Kal1 complex	Rat	Fgfr1
761	Apoptosis- and splicing-associated protein complex (SAP18, RNPS1, Acinus-S)	Human	ACIN1
761	Apoptosis- and splicing-associated protein complex (SAP18, RNPS1, Acinus-S)	Human	RNPS1
761	Apoptosis- and splicing-associated protein complex (SAP18, RNPS1, Acinus-S)	Human	SAP18
762	Ahnak1-dysferlin complex	Rat	Ahnak
762	Ahnak1-dysferlin complex	Rat	Dysf
763	Y14-Magoh complex	Human	MAGOH
763	Y14-Magoh complex	Human	RBM8A
764	Dysferlin-affixin complex	Human	DYSF
764	Dysferlin-affixin complex	Human	PARVB
765	SNARE complex (Snap29, Stx6)	Rat	Snap29
765	SNARE complex (Snap29, Stx6)	Rat	Stx6
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	Rat	Cask
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	Rat	Gria2
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	Rat	Grip1
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	Rat	Prkce
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	Rat	Rgs4
767	Cask-Grip1-Gria2-Mint1 complex	Rat	Apba1
767	Cask-Grip1-Gria2-Mint1 complex	Rat	Cask
767	Cask-Grip1-Gria2-Mint1 complex	Rat	Gria2
767	Cask-Grip1-Gria2-Mint1 complex	Rat	Grip1
768	NdpkA-Ampkalpha1 complex	Rat	Nme1
768	NdpkA-Ampkalpha1 complex	Rat	Prkaa1
770	TREX complex	Human	ALYREF
770	TREX complex	Human	DDX39B
770	TREX complex	Human	THOC1
770	TREX complex	Human	THOC2
770	TREX complex	Human	THOC3
770	TREX complex	Human	THOC5
770	TREX complex	Human	THOC6
770	TREX complex	Human	THOC7
771	NDPKA-AMPKalpha1 complex	Human	NME1
771	NDPKA-AMPKalpha1 complex	Human	PRKAA1
772	EIF4A3-MLN51 complex	Human	CASC3
772	EIF4A3-MLN51 complex	Human	EIF4A3
774	THO complex	Human	THOC1
774	THO complex	Human	THOC2
774	THO complex	Human	THOC5
774	THO complex	Human	THOC6
774	THO complex	Human	THOC7
776	Calr-Itgav-Plp1 complex	Rat	Calr
776	Calr-Itgav-Plp1 complex	Rat	Itgav
776	Calr-Itgav-Plp1 complex	Rat	Plp1
777	Exon junction complex	Human	ALYREF
777	Exon junction complex	Human	NXF1
777	Exon junction complex	Human	RBM8A
777	Exon junction complex	Human	RNPS1
777	Exon junction complex	Human	SRRM1
777	Exon junction complex	Human	UPF2
777	Exon junction complex	Human	UPF3B
778	LARC complex (LCR-associated remodeling complex)	Human	ACTB
778	LARC complex (LCR-associated remodeling complex)	Human	ACTL6A
778	LARC complex (LCR-associated remodeling complex)	Human	ARID1A
778	LARC complex (LCR-associated remodeling complex)	Human	CHD4
778	LARC complex (LCR-associated remodeling complex)	Human	DPF2
778	LARC complex (LCR-associated remodeling complex)	Human	GATAD2B
778	LARC complex (LCR-associated remodeling complex)	Human	HDAC1
778	LARC complex (LCR-associated remodeling complex)	Human	HDAC2
778	LARC complex (LCR-associated remodeling complex)	Human	HNRNPC
778	LARC complex (LCR-associated remodeling complex)	Human	MBD2
778	LARC complex (LCR-associated remodeling complex)	Human	MBD3
778	LARC complex (LCR-associated remodeling complex)	Human	MTA2
778	LARC complex (LCR-associated remodeling complex)	Human	RBBP4
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCA4
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCB1
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCC1
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCC2
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCD2
778	LARC complex (LCR-associated remodeling complex)	Human	SMARCE1
779	K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)	Rat	Gapdh
779	K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)	Rat	Kcnj11
779	K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)	Rat	Pkm
779	K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)	Rat	Tpi1
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	CUL1
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	PFDN2
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	POLR2E
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	RUVBL1
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	RUVBL2
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	SKP1
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	SKP2
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	STAP1
781	URI complex (Unconventional prefoldin RPB5 Interactor)	Human	URI1
782	Itch-Usp9x complex	Rat	Itch
782	Itch-Usp9x complex	Rat	Usp9x
783	ITCH-USP9X complex	Human	ITCH
783	ITCH-USP9X complex	Human	USP9X
784	SURF complex	Human	ETF1
784	SURF complex	Human	GSPT1
784	SURF complex	Human	SMG1
784	SURF complex	Human	UPF1
785	Exon junction complex	Human	ALYREF
785	Exon junction complex	Human	DDX39B
785	Exon junction complex	Human	EIF4A3
785	Exon junction complex	Human	MAGOH
785	Exon junction complex	Human	RBM8A
785	Exon junction complex	Human	RNPS1
785	Exon junction complex	Human	SRRM1
785	Exon junction complex	Human	UPF3B
786	NCOA1-NR3C2-UBE2I complex	Human	NCOA1
786	NCOA1-NR3C2-UBE2I complex	Human	NR3C2
786	NCOA1-NR3C2-UBE2I complex	Human	UBE2I
787	NuA4/Tip60-HAT complex B	Human	ACTL6A
787	NuA4/Tip60-HAT complex B	Human	DMAP1
787	NuA4/Tip60-HAT complex B	Human	EPC1
787	NuA4/Tip60-HAT complex B	Human	KAT5
787	NuA4/Tip60-HAT complex B	Human	MORF4L1
787	NuA4/Tip60-HAT complex B	Human	RUVBL1
787	NuA4/Tip60-HAT complex B	Human	RUVBL2
787	NuA4/Tip60-HAT complex B	Human	TRRAP
788	Exosome	Human	DIS3
788	Exosome	Human	EXOSC1
788	Exosome	Human	EXOSC2
788	Exosome	Human	EXOSC3
788	Exosome	Human	EXOSC4
788	Exosome	Human	EXOSC5
788	Exosome	Human	EXOSC6
788	Exosome	Human	EXOSC7
788	Exosome	Human	EXOSC8
788	Exosome	Human	EXOSC9
789	Exosome	Human	DIS3
789	Exosome	Human	EXOSC1
789	Exosome	Human	EXOSC10
789	Exosome	Human	EXOSC2
789	Exosome	Human	EXOSC3
789	Exosome	Human	EXOSC4
789	Exosome	Human	EXOSC5
789	Exosome	Human	EXOSC6
789	Exosome	Human	EXOSC7
789	Exosome	Human	EXOSC8
789	Exosome	Human	EXOSC9
790	DDB complex	Human	DDB1
790	DDB complex	Human	DDB2
791	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Rat	Cplx1
791	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Rat	Snap25
791	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Rat	Stx1a
791	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Rat	Vamp2
792	SNARE complex (Cplx2, Snap25, Stx1a, Vamp2)	Rat	Cplx2
792	SNARE complex (Cplx2, Snap25, Stx1a, Vamp2)	Rat	Snap25
792	SNARE complex (Cplx2, Snap25, Stx1a, Vamp2)	Rat	Stx1a
792	SNARE complex (Cplx2, Snap25, Stx1a, Vamp2)	Rat	Vamp2
793	SNARE complex (CPLX1, SNAP25, STX1A, VAMP2)	Human	CPLX1
793	SNARE complex (CPLX1, SNAP25, STX1A, VAMP2)	Human	SNAP25
793	SNARE complex (CPLX1, SNAP25, STX1A, VAMP2)	Human	STX1A
793	SNARE complex (CPLX1, SNAP25, STX1A, VAMP2)	Human	VAMP2
794	SNARE complex (CPLX2, SNAP25, STX1a, VAMP2)	Human	CPLX2
794	SNARE complex (CPLX2, SNAP25, STX1a, VAMP2)	Human	SNAP25
794	SNARE complex (CPLX2, SNAP25, STX1a, VAMP2)	Human	STX1A
794	SNARE complex (CPLX2, SNAP25, STX1a, VAMP2)	Human	VAMP2
795	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Mouse	Cplx1
795	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Mouse	Snap25
795	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Mouse	Stx1a
795	SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)	Mouse	Vamp2
796	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	Mouse	Cplx2
796	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	Mouse	Snap25
796	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	Mouse	Stx1a
796	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	Mouse	Vamp2
797	SNARE complex (SNAP23, STX11, VAMP2)	Human	SNAP23
797	SNARE complex (SNAP23, STX11, VAMP2)	Human	STX11
797	SNARE complex (SNAP23, STX11, VAMP2)	Human	VAMP2
798	NuA4/Tip60-HAT complex A	Human	ACTL6A
798	NuA4/Tip60-HAT complex A	Human	BRD8
798	NuA4/Tip60-HAT complex A	Human	DMAP1
798	NuA4/Tip60-HAT complex A	Human	EP400
798	NuA4/Tip60-HAT complex A	Human	EPC1
798	NuA4/Tip60-HAT complex A	Human	EPC2
798	NuA4/Tip60-HAT complex A	Human	ING3
798	NuA4/Tip60-HAT complex A	Human	KAT5
798	NuA4/Tip60-HAT complex A	Human	MEAF6
798	NuA4/Tip60-HAT complex A	Human	MORF4L1
798	NuA4/Tip60-HAT complex A	Human	MRGBP
798	NuA4/Tip60-HAT complex A	Human	RUVBL1
798	NuA4/Tip60-HAT complex A	Human	RUVBL2
798	NuA4/Tip60-HAT complex A	Human	TRRAP
798	NuA4/Tip60-HAT complex A	Human	YEATS4
799	DMAP1-associated complex	Human	ACTL6A
799	DMAP1-associated complex	Human	BRD8
799	DMAP1-associated complex	Human	DMAP1
799	DMAP1-associated complex	Human	EP400
799	DMAP1-associated complex	Human	EPC1
799	DMAP1-associated complex	Human	RUVBL1
799	DMAP1-associated complex	Human	RUVBL2
799	DMAP1-associated complex	Human	SRCAP
799	DMAP1-associated complex	Human	TRRAP
799	DMAP1-associated complex	Human	VPS72
800	DNMT1-HDAC2-DMAP1 complex	Mouse	Dmap1
800	DNMT1-HDAC2-DMAP1 complex	Mouse	Dnmt1
800	DNMT1-HDAC2-DMAP1 complex	Mouse	Hdac2
801	SNARE complex (SNAP23, STX2)	Human	SNAP23
801	SNARE complex (SNAP23, STX2)	Human	STX2
802	Cdc42-Par6b-Par3-Prkci complex	Mouse	Cdc42
802	Cdc42-Par6b-Par3-Prkci complex	Mouse	Pard3
802	Cdc42-Par6b-Par3-Prkci complex	Mouse	Pard6b
802	Cdc42-Par6b-Par3-Prkci complex	Mouse	Prkci
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	ACTL6A
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	ARID1A
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	HDAC2
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	PRMT5
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SIN3A
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCA4
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCB1
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCC1
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCC2
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCD1
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	Human	SMARCE1
804	CDC42-PARD3-PARD6A-PRKCZ complex	Dog	CDC42
804	CDC42-PARD3-PARD6A-PRKCZ complex	Dog	PARD3
804	CDC42-PARD3-PARD6A-PRKCZ complex	Dog	PARD6A
804	CDC42-PARD3-PARD6A-PRKCZ complex	Dog	PRKCZ
805	SNARE complex (SNAP23, STX4)	Human	SNAP23
805	SNARE complex (SNAP23, STX4)	Human	STX4
806	BRM-SIN3A-HDAC complex	Human	ACTL6A
806	BRM-SIN3A-HDAC complex	Human	ARID1A
806	BRM-SIN3A-HDAC complex	Human	HDAC2
806	BRM-SIN3A-HDAC complex	Human	PRMT5
806	BRM-SIN3A-HDAC complex	Human	SIN3A
806	BRM-SIN3A-HDAC complex	Human	SMARCA2
806	BRM-SIN3A-HDAC complex	Human	SMARCB1
806	BRM-SIN3A-HDAC complex	Human	SMARCC1
806	BRM-SIN3A-HDAC complex	Human	SMARCC2
806	BRM-SIN3A-HDAC complex	Human	SMARCD1
806	BRM-SIN3A-HDAC complex	Human	SMARCD2
806	BRM-SIN3A-HDAC complex	Human	SMARCE1
807	BRG1-associated complex	Human	ACTL6A
807	BRG1-associated complex	Human	ARID1A
807	BRG1-associated complex	Human	PRMT5
807	BRG1-associated complex	Human	SMARCA4
807	BRG1-associated complex	Human	SMARCB1
807	BRG1-associated complex	Human	SMARCC1
807	BRG1-associated complex	Human	SMARCC2
807	BRG1-associated complex	Human	SMARCD1
807	BRG1-associated complex	Human	SMARCE1
808	BRM-associated complex	Human	ACTL6A
808	BRM-associated complex	Human	ARID1A
808	BRM-associated complex	Human	PRMT5
808	BRM-associated complex	Human	SMARCA2
808	BRM-associated complex	Human	SMARCB1
808	BRM-associated complex	Human	SMARCC1
808	BRM-associated complex	Human	SMARCC2
808	BRM-associated complex	Human	SMARCD1
808	BRM-associated complex	Human	SMARCD2
808	BRM-associated complex	Human	SMARCE1
809	eRF1-eRF3-GTP-Mg(2+) complex	Human	ETF1
809	eRF1-eRF3-GTP-Mg(2+) complex	Human	GSPT1
811	FCP1-associated protein complex	Human	CTDP1
811	FCP1-associated protein complex	Human	ERH
811	FCP1-associated protein complex	Human	GTF2F1
811	FCP1-associated protein complex	Human	POLR2B
811	FCP1-associated protein complex	Human	PRMT5
811	FCP1-associated protein complex	Human	STK38
811	FCP1-associated protein complex	Human	WDR77
812	Upf complex (UPF1, UPF2, UPF3a)	Human	UPF1
812	Upf complex (UPF1, UPF2, UPF3a)	Human	UPF2
812	Upf complex (UPF1, UPF2, UPF3a)	Human	UPF3A
813	Upf complex (UPF1, UPF2, UPF3b)	Human	UPF1
813	Upf complex (UPF1, UPF2, UPF3b)	Human	UPF2
813	Upf complex (UPF1, UPF2, UPF3b)	Human	UPF3B
814	Postsplicing complex	Human	NXF1
814	Postsplicing complex	Human	RBM8A
814	Postsplicing complex	Human	RNPS1
814	Postsplicing complex	Human	UPF1
814	Postsplicing complex	Human	UPF2
814	Postsplicing complex	Human	UPF3A
814	Postsplicing complex	Human	UPF3B
815	MRIP-MBS-RHOA complex	Human	MPRIP
815	MRIP-MBS-RHOA complex	Human	PPP1R12A
815	MRIP-MBS-RHOA complex	Human	RHOA
816	MRIP-RHOA complex	Human	MPRIP
816	MRIP-RHOA complex	Human	RHOA
817	MRIP-MBS complex	Human	MPRIP
817	MRIP-MBS complex	Human	PPP1R12A
819	20S methylosome-SmD complex	Human	CLNS1A
819	20S methylosome-SmD complex	Human	PRMT5
819	20S methylosome-SmD complex	Human	SNRPD1
819	20S methylosome-SmD complex	Human	SNRPD3
820	SNARE complex (SNAP23, STX6)	Human	SNAP23
820	SNARE complex (SNAP23, STX6)	Human	STX6
821	Pard3-Cdh5-Ctnna1-Ctnnb1 complex	Hamster	Cdh5
821	Pard3-Cdh5-Ctnna1-Ctnnb1 complex	Hamster	Ctnna1
821	Pard3-Cdh5-Ctnna1-Ctnnb1 complex	Hamster	Ctnnb1
821	Pard3-Cdh5-Ctnna1-Ctnnb1 complex	Hamster	Pard3
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	DCP2
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	EXOSC10
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	EXOSC2
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	EXOSC4
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	PARN
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	UPF1
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	UPF2
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	UPF3B
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	XRN1
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Human	XRN2
823	PAR-3-VE-cadherin complex, endothelial	Mouse	Cdh5
823	PAR-3-VE-cadherin complex, endothelial	Mouse	Pard3
824	Anti-SMN protein complex	Human	DDX20
824	Anti-SMN protein complex	Human	GEMIN2
824	Anti-SMN protein complex	Human	GEMIN4
824	Anti-SMN protein complex	Human	SMN1
824	Anti-SMN protein complex	Human	SNRPB
825	JBP1-pICln complex	Human	CLNS1A
825	JBP1-pICln complex	Human	PRMT5
